Tweet,Target,Stance
cbs news commie network missed impeachment going ask wonderful persident warning wuhan china virus cbs realdonaldtrump,Donald Trump,1
long politician access 2 others b corruption steal u 2 enable crooksmooches lining pocket demsmsmrinos r socialist globalist traitor must b gone 4ever govtfraudwasteabuse dcdysfunctional congresstrump2020 purge,Donald Trump,1
take fact add bunch assumption look threw 100 partisan veiw obvious trump guilty trump bullshit,Donald Trump,1
incomplete list corrupt fbi official need indicted jailed tcot ccot tlot teaparty gop trump stopthecoup,Donald Trump,1
people done le black community kag blacksfortrump,Donald Trump,1
pelosi afraid trump leave office loses worry nancy cuz winning maga kag trump,Donald Trump,1
snapshot potus45 10day trip asia everywhere went people recognized trump china,Donald Trump,0
way treat criminal deserve pas r giving r wrong democraticparty,Donald Trump,0
trump marketing guy front man get people make decision people make policy afraid make big decision case expose play plausible deniability game waffle babble little leader,Donald Trump,0
anyone else find curious rush limbaughs lung cancer heavily publicized drum sympathy old racist immediately wellchoreographed medal freedom ceremony middle trump sotu speech,Donald Trump,0
stop giving oxygen trump rally even cover anymore please stop andylack,Donald Trump,0
multiple whistleblower raise grave concern white house effort transfer sensitive usnucleartechnology saudiarabia trump via,Donald Trump,0
happened mexico pay wall love people election matter folk local repubs remain silent stance heard medical student future would jeopardy decision dreamact,Donald Trump,1
watch 2 minute clip sum exactly got trump dems pathetic resistance really assistance desperately need new party time demexit peoplesparty realrevolution,Donald Trump,0
thank president trump kag nothing like energy president rally wait til come back nm,Donald Trump,1
talk sick still believe america president,Donald Trump,0
doubt idiot liar smart idiotinchief liarinchief trump,Donald Trump,0
ummm republican party rigging election trump ironic 2020elections,Donald Trump,0
alliwed stay office people die blood hand schiffty democratshateamerica trump,Donald Trump,1
c_a must dismantled new agency must replace limited power itsatrainwreck f_i must cleaned head toe restoretrust howmanymustdie,Donald Trump,1
medium china team hate team,Donald Trump,1
donald j trump man courage determination god bless,Donald Trump,1
hey spanky allow antisemitic behavior country remain silent use le word reading teleprompter mean nothingnotmypresident trump,Donald Trump,0
going stop investigate make arrest know power whipped public belief lie leading violence marie antoinette innocent whipped public believed lie trump,Donald Trump,1
caught lying eh russian collusion paying bet cried pillow mueller wet bed bet cried hard trump election bet may even feel totally broken win,Donald Trump,0
mccain sought grant amnesty 11 million illegal alien fought trump wall screwed u repealing obamacare despite promising repeal mccain leftist rino goodriddence,Donald Trump,1
let u show dems serious kag might ask showing poll massive number complacent believe poll elected trump need back patriot trump let u,Donald Trump,1
even quidproquo illegal president leverage aid benefit american people let u sucked vortex democrat delusion vindman nevertrumper ukrainegate noquidproquo trump,Donald Trump,1
wrong quit listening mainstream mueller investigation extended exonerate pres trump watch judicial watch look indictment read report aware truth maga kag np going arrested soon rbg dead,Donald Trump,0
guy vendetta paper trump presidential run year get clue nothing trump know truth oh way fight back save crocodile tear,Donald Trump,1
crazy wrong outrageous bail lost bunch gained back lost bunch sound like thousand u thisisamericaright,Donald Trump,1
wish mueller christmas wish mueller christmas wish mueller christmas impeachment next year indictment bring kid trump trumptower,Donald Trump,0
better lawyer big time last knew white lie still lie hopehickswhitelies muellertime trump,Donald Trump,0
ytf american liberal think canada dumping ground refuge would much rather trump canada wretched talentless hack dumping ground canada reflex overall gfy usa donaldtrump,Donald Trump,1
yes waiting living room packed patriot love president country trump2020victorynowmorethanever trump,Donald Trump,1
travis one criticism trump primary candidacy tie clinton,Donald Trump,0
complete fraud anyone half brain see disgusting act mile away come around go aroundlooking forward demise trumpeffect winning trump,Donald Trump,1
ask democrat would let every trickortreating person n2 house2 workhave raise eatamp liveoamp breaking n open buildthewallnow stoptheinvasion halloween2018 cot,Donald Trump,1
would hate he always self deprecating people confidence always also provided free publicity thanks trump,Donald Trump,1
larry nassar said proud supporter kkk member neonazis donaldtrump would pardoned trump,Donald Trump,0
seen dems easily shocked moved republicansas traitor like move b keep country safe one need fear demonstrating,Donald Trump,0
vincevaughn knew vaughn patriot know he trump supporter make even happier,Donald Trump,1
trump count 65 people due inflated ego penny count half person thus within guideline,Donald Trump,0
well see msnbc want watch speaking right tearing dems huge crowd theresistance metoo bluewave2018 immigrantcaravan abc cbs politicslive cnn news texasdebate,Donald Trump,1
middle public health emergency election stock market plummet bachelor 1 trending thing twitter cool glad humanity priority checkcoronavirus election2020 marketcrash trumpdemic covid2019 trumprecession,Donald Trump,0
seen tweet please go comment drag cnn aka clown news network working idiot bumbitch fakenewsmotherfucker trump,Donald Trump,1
give 10 million ill give 9 million trump campaign keep 1 million expense give democrat,Donald Trump,1
read rough transcript trump first phone call ukraine leader released white house donaldtrump trump uspresident,Donald Trump,1
ever wonder go mind trump nahme neither shit amp giggle let u take look cartoon stuart carlson,Donald Trump,0
sugar congress lazy also busy letting tail chase dog impeachment expensive amp futile attempt get rid potus,Donald Trump,1
great video solsuperb editing music content president trump best president life time,Donald Trump,1
putinspuppet complicitcorruptgop new face republican party trumprecession walkawayfromrepublicans,Donald Trump,0
maybe denmark finland since invaded hundred year ago payback time like viking struck country yeah asshole long time still afraid trump kim putin world threat,Donald Trump,0
trump planning divert additional 72 billion pentagon fund border wall,Donald Trump,0
end 2018 10 thing thankful president done country via newyearseve2018 top10,Donald Trump,1
world greatest workeruniter mean made blindly clear sell job health childrens freedom chinaliedandpeopledied,Donald Trump,1
ag barr investigating horror revealing responsible travesty killing 20 ny state population israel q flynn nra deplorable draintheswamp fakenews anticommunism trump,Donald Trump,1
look like people waking fact lame stream medium fraud trump,Donald Trump,1
agree stop watching msm want see trump show full lie everytime reporter ask question liaryet give airtime madness,Donald Trump,0
delusional need help wait trump sworn second winning popular vote nocollusion noobstruction,Donald Trump,1
anything laughable real criminal using fake news calling others crooked distract crime failure pathetic disgusting 70days trumpisanationaldisgrace trump,Donald Trump,0
true bk reimers thomas friedman great analogy happened republican party today gop government trump university education,Donald Trump,0
making dictatorship thanks lot spineless gop rat donaldtrump late,Donald Trump,0
italy sergio matarella favor usrussia relation meet trump trump say shut govt sign spending bill include money wall big baby must get way dumptrump,Donald Trump,0
really 2016 republican sen lindsey graham donald trump going try get mind donald trump think whole lot space think kook think crazy think unfit office,Donald Trump,0
time musical interlude never let guard fight fascism gop every turn buffalo springfield donald trump worth via,Donald Trump,0
dems disrespect president want tie hand thanks president million people safer true terrorist thank mr president,Donald Trump,1
running rampant u absolutely idea control covid19 ignored lied let 100 thousand american die trump,Donald Trump,0
qanon qarmy maga followthewhiterabbit qanon greatawakening spygate stopthecoup jimjordan want nothing impeachmenthearing donaldtrump end clinton clinton foundation revenue 16 year low,Donald Trump,1
received copy triggeredcannot wait read thank trump jr please help support friend michelle depalma running congress 9th district phoenix az defeat nothing dem greg stanton,Donald Trump,1
trump gop fucking crazy even joke anymore human being life trump amp care friday penny last task force medical expert,Donald Trump,0
hundred thousand people may die ok donald trump getting great rating tv,Donald Trump,0
donald trump maternal grandmother lived 85 mother lived 88 currently 73 look like unlike people lifetime steak big mac french fry diet coke match circulatory system trump donaldtrump,Donald Trump,1
oh man democrat get elected liberaltears,Donald Trump,1
internal report expose extent trump child separation policy via trump w gop support began separating child parentsguardians early julynovember2017 trumpchildseparationpolicy,Donald Trump,0
newbluehand bluehand rt realdonaldtrump thrilled announce second quarter year yous economy grew amazing rate 41 potus,Donald Trump,0
putin longago knew need dupe bought cheap trumpslaundryservice successful biz trump amp family ever run taxreturns trumprussia,Donald Trump,0
