Tweet,Target,Stance
snapshot potus45 10day trip asia everywhere went people recognized trump china,Donald Trump,0
corporate democrat either disabled sole provider child international centrist belief social reform including limited universal healthcare living wage false bernie attacking amp votebluenomatterwho,Bernie Sanders,1
fellow berniesanders supporter send kid school wondering bc son turning 5 please comment whether like amp amp w specific type etc please rt amp help get education opinion progressive parent thanks,Bernie Sanders,1
want administration official held accountable criminal effort undermine,Donald Trump,1
sad many troll tonight donated twice last night deadline bernie fighting oligarch endless sum money,Bernie Sanders,0
apis rightscore mueller report blow yous democrat plan probe trump reuters 56 walkaway mediabias rednationrising gop,Donald Trump,1
damnelon musk breaking chain going rogue talk ab creating site public ratescore credibility msm reporting qanon8chan qanon news fakenews drainingtheswamp wednesdaywisdom kag tesla,Donald Trump,1
holy shit confirmed running mate woman wow democraticdebate,Joe Biden,1
today mark 11 year since mom passed away breast cancer inspired turn tragedy purpose debate stage tonight know inspire nation overcome challenge demdebate iacaucus joebiden,Joe Biden,1
ted kennedy president obama joe biden best speaker ever pleasure hear life time franklin delano roosevelt speech best ever though,Joe Biden,1
dearbernie canadian genx child young people filled hope included notmeus everything brought dream million heart amazing personality integrity inspires tomorrow leader hope get president,Bernie Sanders,1
never happen biden integrity back bone accept invitation,Joe Biden,0
dear joe please run think awesome time new blood please advise mentor democrat,Joe Biden,0
curious anyone know sponsored former secnav spencer nomination appears another trump guy protrump navy vet available,Donald Trump,1
thread show incomparable competence foreignpolicy comparing bernie better rest still behind tulsi thread understand commanderinchief foreign affair president job,Bernie Sanders,1
many men showed kentucky state capital building dressed armed like one thank god people believe okay think betocrat betoforever biden,Joe Biden,1
he attacked slighted stronger get go berniesanders dnc,Bernie Sanders,1
trump pay stormy daniel thru corp find anyway w pic going resign apparently itsokifyouarerepublican,Donald Trump,0
mccain sought grant amnesty 11 million illegal alien fought trump wall screwed u repealing obamacare despite promising repeal mccain leftist rino goodriddence,Donald Trump,1
collusion thing never going work democrat tendency using wrong weapon resistance time let u use right weapon time let u fire bern berniesanders,Bernie Sanders,1
sad lee licker potus45 everyone know trump guilty guy crook whole life poor republican defend without falling back debunked conspiracy call patriot pathetic,Donald Trump,0
love saying dems medium playing blame game pipebombs blaming turn around blame dems refugee coming south central america hypocrisy,Donald Trump,1
great great optimistic rally green bay wisconsin thank god bless good luck best wish takebackthehouse2020,Donald Trump,1
surprised see lib panelist push false narrative started vendetta fact mccain began feud trump statement early 2016 primary season mccain skunk,Donald Trump,1
joe panderer follow money every democrat run city crime ridden violent shithole money convenient call potus racist calling poor leadership corruption,Joe Biden,0
endorsed guy told everyone safe vote person couple week ago week candidate notfittolead berniesanders one saying mail ballot stay home,Bernie Sanders,1
pleaseannounce candidacy next presidential election joe biden continued support course vote,Joe Biden,1
joebiden fire prosecutor united state give 1billion aid amp trust call barackobama treason locke,Joe Biden,0
guy wrote police bill right 1994 tough crime bill patriot act authoritarian legislation opposes taking power away police abusing power would guessed votegreen2020 joebiden,Joe Biden,0
joebidens ready office letter massive see ya statement doctorgt test cognitive function hello red flag never seen ready office letter candidate,Joe Biden,1
wtf wrong tweet unreal almost hard believe knowing wrote make sense world hypocrisy biden,Joe Biden,0
oh research thank false insinuation though know beto stand anyone speaking bernie stand people doubt good day,Bernie Sanders,1
golden quote joe biden nowhere near well spoken election2020,Joe Biden,0
naming proud boy organization terror oh wait forgot white supremacist play team trump,Donald Trump,0
mind trump account looking bright side give u real time headsup call altright extremist war evil dems libtards investigativereporters newscaster perceived enemy trumpdomesticterrorism,Donald Trump,1
six pelosis 7 manager bellowing impeachment infamous ukrainetrump phone call ever took place trump gop potus dems seanhannity realdonaldtrump wattersworld,Donald Trump,1
salty af bernie came tweet indignant democratic socialistsnaw prove point nuthin,Bernie Sanders,1
mean christian conservative patriot must organize get kimmel behar view snl cancelled soon freedom religion 1a 2a memory boycottnetflix boycottabc boycottmsm jesus trump trumpsarmy,Donald Trump,1
mrpresident wake get work much done joebiden,Joe Biden,1
could cnn cnntownhall credibility scripted question provided guest town hall get desired answer maga nraboycott nra deplorables msm foxnews foxandfriends sundaymorning democraticmemo gop,Donald Trump,1
trump claim protect social security hour telling fox news cut donaldtrump lie socialsecurity,Donald Trump,0
cheer major outpouring love endorsement truly beyond awesome well deserved indeed,Joe Biden,1
wonder give kamalaharris pas bullshit attack joebiden biden fan harris dirty prosecutor trying remake,Joe Biden,0
corruptgop need worry corrupttrump contacting foreign country help 2020 election need remember dems control amp go cry like bytches,Donald Trump,0
amp chris wallace trump propagandist start speaking shading amp slamming evidenttrying make buddy shep smith,Donald Trump,1
minimum bidens pattern behavior demonstrates lack respect people space bodily autonomy worst suggests like creepy harassy guy us behavior like show power amp control 7,Joe Biden,0
got say loud n c l e ryou take win thief stole liar good 1 though sleeping dog obama tried destroy country r po nothing say presidential nojoe biden,Joe Biden,0
