Tweet,Target,Stance
due confusion caused coronavirus able vote bernie nearly 50 time getting tired deciding take quick lunch break plan going back voting many time polling place close suggest try,Bernie Sanders,0
bernie sounded great npr today mad campaign folk even agree sign letter support union counselor support military member insurance company boss steal taxpayer dollar working people huh,Bernie Sanders,1
reason iowa may well berniesanders ultimately bernie win end sander cuck dnc past behaviour indicative future behaviour clownworld,Bernie Sanders,0
see thread insulting normally telling like certainly feel free jump berniesanders suddenly attacking started election2020,Bernie Sanders,0
follow bernie peril college europe free catch r taxed almost 50 earningsthat 12 paycheck nextthey far le people going collegebernie tell truth health care vote wisely vote republican,Bernie Sanders,0
still wishing miracle elizabethwarren could run vp bernie going sure win democrat get racistpresident white house,Bernie Sanders,1
sander people always lying covering dems much better bernie need release newest health record stop gaslighting demdebate berniesanders,Bernie Sanders,0
berniethe truck driver lost job automation would offered free collegevocational training job choose help start business etc long record current policy prove would forcedlaborlack freedom,Bernie Sanders,1
iendorsebernie ton reason one number 1 running time save planet worst climate change need bernies greennewdeal bernie indiana,Bernie Sanders,1
beat make bull hope stick bernie,Bernie Sanders,0
bernieyellsforus bernieyellsforme berniesanders democrat whatever defeat bernie sander like 2016 nothing like 2016,Bernie Sanders,1
donated first campaign lot give bernie give hope future fundamentally change america believe,Bernie Sanders,1
minivan app extremely useful canvassing walk whole process anyone canvassed encourage fun fulfilling going win peoplepower bernie,Bernie Sanders,1
attack oh waityou mean people want noncitizen voting mean votingrights neverkamala electoralcollege 2020election election2020 epicfail govote walkawayfromdemocrats bernie,Bernie Sanders,0
berniesanders get beat democraticparty everything power harm 2016nominee run ticket ever period life long member democraticparty know put dnc pay attention,Bernie Sanders,0
lot photo ops homestead cap betting bernie photo op guy wonder he addressing concern behind scene,Bernie Sanders,1
easy believe thinking past year seems andrew gillum come support sander help put 400000 new voter ballot felon definitely radical enough know dnc,Bernie Sanders,1
going lie page first learned read found people wake eventually power shit fraud theft come end bernie swamp drained real,Bernie Sanders,1
fight inspire u join together transform country justiceforall realleader bernie,Bernie Sanders,0
corporate democrat either disabled sole provider child international centrist belief social reform including limited universal healthcare living wage false bernie attacking amp votebluenomatterwho,Bernie Sanders,1
bernie direct threat health misguided giveaway,Bernie Sanders,0
seems like centrist democrat loyalist inspired metoo movement ability take many personality since 2016 thought would preemptively try bernie 2020,Bernie Sanders,1
many time bernie thrown woman zephyr teachout woman color bri nina notmeus movement bus partly understood old black folk w see,Bernie Sanders,0
affordable healthcare basic human right ridiculous medicare4all require pay time service pay tax affordable healthcare4all go together stand anything le m4a bernie,Bernie Sanders,1
wallstreetpete running plan relies bringing back individual mandate amp taxing people could afford keep insurance retroactively medicareforall fraction cost amp let u go dr want bernie,Bernie Sanders,1
jess gave almost 200 million bernie 2020 doubt berniesanders pas small business real agenda socialism,Bernie Sanders,0
help saying public option available required getting slammed bernie supporter including infamous shhhh timblack misunderstanding,Bernie Sanders,0
china run california 24hr chicom camera watch get people leaving home communistcalifornia bernie supporter get glimpse life want freedom gone thursdaymotivation stimulusbill gov moneystay home,Bernie Sanders,0
vague fact require belief religion candidate id love know voter bernie proposal he fought consistently way 2016 amp voted accordingly unlike anyone else running,Bernie Sanders,1
bernie alot need tune answershe losing answer place clear better,Bernie Sanders,0
speak parent wife hiring usual goto 16 year old babysitter precinct captain bernie iacaucus night second choice take u see participatory direct democracy action,Bernie Sanders,1
going church denied also would honor warren2020 berniesanders,Bernie Sanders,1
